#1:snapshot #2:rc #3:rh #4:rc/rh [all units parsec]
n2e5_w5_r2_Rg8_z0.001.out.snap0082.dat.gz 2.71 4.42 0.61
n2e5_w5_r2_Rg8_z0.001.out.snap0083.dat.gz 2.98 4.54 0.66
n2e5_w5_r2_Rg8_z0.001.out.snap0084.dat.gz 2.67 4.51 0.59
n2e5_w5_r2_Rg8_z0.001.out.snap0085.dat.gz 3.19 4.54 0.7
n2e5_w5_r2_Rg8_z0.001.out.snap0086.dat.gz 3.01 4.62 0.65
n2e5_w5_r2_Rg8_z0.001.out.snap0087.dat.gz 3.1 4.65 0.67
n2e5_w5_r2_Rg8_z0.001.out.snap0088.dat.gz 2.91 4.71 0.62
n2e5_w5_r2_Rg8_z0.001.out.snap0089.dat.gz 2.92 4.76 0.61
n2e5_w5_r2_Rg8_z0.001.out.snap0090.dat.gz 3.01 4.79 0.63
n2e5_w5_r2_Rg8_z0.001.out.snap0091.dat.gz 3.08 4.84 0.64
n2e5_w5_r2_Rg8_z0.001.out.snap0092.dat.gz 3.23 4.78 0.68
n2e5_w5_r2_Rg8_z0.001.out.snap0093.dat.gz 3.05 4.92 0.62
n2e5_w5_r2_Rg8_z0.001.out.snap0094.dat.gz 2.96 4.9 0.6
n2e5_w5_r2_Rg8_z0.001.out.snap0095.dat.gz 3.07 4.98 0.62
n2e5_w5_r2_Rg8_z0.001.out.snap0096.dat.gz 3.09 5.03 0.61
n2e5_w5_r2_Rg8_z0.001.out.snap0097.dat.gz 3.22 4.99 0.65
n2e5_w5_r2_Rg8_z0.001.out.snap0098.dat.gz 3.19 4.95 0.64
n2e5_w5_r2_Rg8_z0.001.out.snap0099.dat.gz 3.07 5.03 0.61
n2e5_w5_r2_Rg8_z0.001.out.snap0100.dat.gz 2.96 5.05 0.59
n2e5_w5_r2_Rg8_z0.001.out.snap0101.dat.gz 2.88 5.02 0.57
n2e5_w5_r2_Rg8_z0.001.out.snap0102.dat.gz 3.08 5.01 0.61
n2e5_w5_r2_Rg8_z0.001.out.snap0103.dat.gz 2.81 5.05 0.56
n2e5_w5_r2_Rg8_z0.001.out.snap0104.dat.gz 3.01 5.16 0.58
n2e5_w5_r2_Rg8_z0.001.out.snap0105.dat.gz 2.94 5.15 0.57
n2e5_w5_r2_Rg8_z0.001.out.snap0106.dat.gz 3.31 5.19 0.64
n2e5_w5_r2_Rg8_z0.001.out.snap0107.dat.gz 3.16 5.25 0.6
n2e5_w5_r2_Rg8_z0.001.out.snap0108.dat.gz 3.1 5.23 0.59
n2e5_w5_r2_Rg8_z0.001.out.snap0109.dat.gz 3.2 5.16 0.62
n2e5_w5_r2_Rg8_z0.001.out.snap0110.dat.gz 3.28 5.27 0.62
n2e5_w5_r2_Rg8_z0.001.out.snap0111.dat.gz 3.26 5.19 0.63
n2e5_w5_r2_Rg8_z0.001.out.snap0112.dat.gz 3.24 5.33 0.61
n2e5_w5_r2_Rg8_z0.001.out.snap0113.dat.gz 3.31 5.27 0.63
n2e5_w5_r2_Rg8_z0.001.out.snap0114.dat.gz 3.09 5.31 0.58
n2e5_w5_r2_Rg8_z0.001.out.snap0115.dat.gz 3.08 5.32 0.58
n2e5_w5_r2_Rg8_z0.001.out.snap0116.dat.gz 3.26 5.37 0.61
n2e5_w5_r2_Rg8_z0.001.out.snap0117.dat.gz 3.61 5.32 0.68
n2e5_w5_r2_Rg8_z0.001.out.snap0118.dat.gz 3.28 5.49 0.6
n2e5_w5_r2_Rg8_z0.001.out.snap0119.dat.gz 3.26 5.47 0.6
n2e5_w5_r2_Rg8_z0.001.out.snap0120.dat.gz 3.49 5.48 0.64
n2e5_w5_r2_Rg8_z0.001.out.snap0121.dat.gz 3.1 5.6 0.55
n2e5_w5_r2_Rg8_z0.001.out.snap0122.dat.gz 3.49 5.58 0.63
n2e5_w5_r2_Rg8_z0.001.out.snap0123.dat.gz 3.53 5.69 0.62
n2e5_w5_r2_Rg8_z0.001.out.snap0124.dat.gz 3.17 5.57 0.57
n2e5_w5_r2_Rg8_z0.001.out.snap0125.dat.gz 3.47 5.58 0.62
n2e5_w5_r2_Rg8_z0.001.out.snap0126.dat.gz 3.52 5.69 0.62
n2e5_w5_r2_Rg8_z0.001.out.snap0127.dat.gz 3.42 5.68 0.6
n2e5_w5_r2_Rg8_z0.001.out.snap0128.dat.gz 3.48 5.71 0.61
n2e5_w5_r2_Rg8_z0.001.out.snap0129.dat.gz 3.67 5.78 0.64
n2e5_w5_r2_Rg8_z0.001.out.snap0130.dat.gz 3.47 5.93 0.59
n2e5_w5_r2_Rg8_z0.001.out.snap0131.dat.gz 3.4 5.86 0.58
n2e5_w5_r2_Rg8_z0.001.out.snap0132.dat.gz 3.73 5.86 0.64
n2e5_w5_r2_Rg8_z0.001.out.snap0133.dat.gz 3.38 5.86 0.58
n2e5_w5_r2_Rg8_z0.001.out.snap0134.dat.gz 3.43 5.89 0.58
n2e5_w5_r2_Rg8_z0.001.out.snap0135.dat.gz 3.32 5.93 0.56
n2e5_w5_r2_Rg8_z0.001.out.snap0136.dat.gz 3.56 5.92 0.6
n2e5_w5_r2_Rg8_z0.001.out.snap0137.dat.gz 3.48 6.05 0.57
n2e5_w5_r2_Rg8_z0.001.out.snap0138.dat.gz 3.34 5.9 0.57
n2e5_w5_r2_Rg8_z0.001.out.snap0139.dat.gz 3.49 6.07 0.58
n2e5_w5_r2_Rg8_z0.001.out.snap0140.dat.gz 3.56 6.08 0.58
n2e5_w5_r2_Rg8_z0.001.out.snap0141.dat.gz 3.58 6.11 0.59
n2e5_w5_r2_Rg8_z0.001.out.snap0142.dat.gz 3.45 6.03 0.57
n2e5_w5_r2_Rg8_z0.001.out.snap0143.dat.gz 3.44 6.11 0.56
