#snapno time[Myr] time[FP] #1:snapshot #2:rc #3:rh #4:rc/rh
0075 2055.29219878 0.68275328 n2e5_w5_r2_Rg8_z0.001.out.snap0075.dat.gz 2.8 4.3 0.65
0076 2110.88015776 0.7012192 n2e5_w5_r2_Rg8_z0.001.out.snap0076.dat.gz 2.67 4.24 0.63
0077 2214.07826896 0.73550087 n2e5_w5_r2_Rg8_z0.001.out.snap0077.dat.gz 2.49 4.31 0.58
0078 2257.7801487 0.75001832 n2e5_w5_r2_Rg8_z0.001.out.snap0078.dat.gz 2.74 4.43 0.62
0079 2261.15701293 0.75114009 n2e5_w5_r2_Rg8_z0.001.out.snap0079.dat.gz 2.68 4.43 0.6
0080 2298.15441271 0.76343036 n2e5_w5_r2_Rg8_z0.001.out.snap0080.dat.gz 2.85 4.35 0.66
0081 2329.31514182 0.77378173 n2e5_w5_r2_Rg8_z0.001.out.snap0081.dat.gz 2.59 4.42 0.59
0082 2379.49386262 0.79045074 n2e5_w5_r2_Rg8_z0.001.out.snap0082.dat.gz 2.71 4.42 0.61
0083 2407.36409301 0.79970903 n2e5_w5_r2_Rg8_z0.001.out.snap0083.dat.gz 2.98 4.54 0.66
0084 2484.56486207 0.82535457 n2e5_w5_r2_Rg8_z0.001.out.snap0084.dat.gz 2.67 4.51 0.59
0085 2519.58603001 0.83698835 n2e5_w5_r2_Rg8_z0.001.out.snap0085.dat.gz 3.19 4.54 0.7
0086 2663.78785895 0.88489116 n2e5_w5_r2_Rg8_z0.001.out.snap0086.dat.gz 3.01 4.62 0.65
0087 2746.56322196 0.91238854 n2e5_w5_r2_Rg8_z0.001.out.snap0087.dat.gz 3.1 4.65 0.67
0088 2820.16448501 0.93683835 n2e5_w5_r2_Rg8_z0.001.out.snap0088.dat.gz 2.91 4.71 0.62
0089 2872.02214043 0.95406509 n2e5_w5_r2_Rg8_z0.001.out.snap0089.dat.gz 2.92 4.76 0.61
0090 2947.52555183 0.97914678 n2e5_w5_r2_Rg8_z0.001.out.snap0090.dat.gz 3.01 4.79 0.63
0091 3010.31264326 1.0000042 n2e5_w5_r2_Rg8_z0.001.out.snap0091.dat.gz 3.08 4.84 0.64
0092 3067.36685916 1.0189572 n2e5_w5_r2_Rg8_z0.001.out.snap0092.dat.gz 3.23 4.78 0.68
0093 3143.90283357 1.0443819 n2e5_w5_r2_Rg8_z0.001.out.snap0093.dat.gz 3.05 4.92 0.62
0094 3190.29155657 1.0597919 n2e5_w5_r2_Rg8_z0.001.out.snap0094.dat.gz 2.96 4.9 0.6
0095 3249.36779098 1.0794166 n2e5_w5_r2_Rg8_z0.001.out.snap0095.dat.gz 3.07 4.98 0.62
0096 3299.79121907 1.0961669 n2e5_w5_r2_Rg8_z0.001.out.snap0096.dat.gz 3.09 5.03 0.61
0097 3328.63049513 1.1057471 n2e5_w5_r2_Rg8_z0.001.out.snap0097.dat.gz 3.22 4.99 0.65
0098 3379.98049356 1.1228052 n2e5_w5_r2_Rg8_z0.001.out.snap0098.dat.gz 3.19 4.95 0.64
0099 3424.00342179 1.1374293 n2e5_w5_r2_Rg8_z0.001.out.snap0099.dat.gz 3.07 5.03 0.61
0100 3500.4340357 1.162819 n2e5_w5_r2_Rg8_z0.001.out.snap0100.dat.gz 2.96 5.05 0.59
0101 3544.57496769 1.1774823 n2e5_w5_r2_Rg8_z0.001.out.snap0101.dat.gz 2.88 5.02 0.57
0102 3583.40482739 1.1903813 n2e5_w5_r2_Rg8_z0.001.out.snap0102.dat.gz 3.08 5.01 0.61
0103 3688.73552542 1.2253714 n2e5_w5_r2_Rg8_z0.001.out.snap0103.dat.gz 2.81 5.05 0.56
0104 3754.04518804 1.2470668 n2e5_w5_r2_Rg8_z0.001.out.snap0104.dat.gz 3.01 5.16 0.58
0105 3762.96892136 1.2500312 n2e5_w5_r2_Rg8_z0.001.out.snap0105.dat.gz 2.94 5.15 0.57
0106 3869.22739385 1.2853295 n2e5_w5_r2_Rg8_z0.001.out.snap0106.dat.gz 3.31 5.19 0.64
0107 3963.83871461 1.3167587 n2e5_w5_r2_Rg8_z0.001.out.snap0107.dat.gz 3.16 5.25 0.6
0108 4015.46265034 1.3339078 n2e5_w5_r2_Rg8_z0.001.out.snap0108.dat.gz 3.1 5.23 0.59
0109 4075.81495092 1.3539564 n2e5_w5_r2_Rg8_z0.001.out.snap0109.dat.gz 3.2 5.16 0.62
0110 4181.51862512 1.3890704 n2e5_w5_r2_Rg8_z0.001.out.snap0110.dat.gz 3.28 5.27 0.62
0111 4277.08812437 1.4208179 n2e5_w5_r2_Rg8_z0.001.out.snap0111.dat.gz 3.26 5.19 0.63
0112 4332.30304697 1.4391599 n2e5_w5_r2_Rg8_z0.001.out.snap0112.dat.gz 3.24 5.33 0.61
0113 4389.16249646 1.4580482 n2e5_w5_r2_Rg8_z0.001.out.snap0113.dat.gz 3.31 5.27 0.63
0114 4477.24778785 1.4873095 n2e5_w5_r2_Rg8_z0.001.out.snap0114.dat.gz 3.09 5.31 0.58
0115 4515.61947989 1.5000563 n2e5_w5_r2_Rg8_z0.001.out.snap0115.dat.gz 3.08 5.32 0.58
0116 4608.27530977 1.5308359 n2e5_w5_r2_Rg8_z0.001.out.snap0116.dat.gz 3.26 5.37 0.61
0117 4693.01826507 1.5589869 n2e5_w5_r2_Rg8_z0.001.out.snap0117.dat.gz 3.61 5.32 0.68
0118 4745.40741906 1.5763902 n2e5_w5_r2_Rg8_z0.001.out.snap0118.dat.gz 3.28 5.49 0.6
0119 4806.50416683 1.5966861 n2e5_w5_r2_Rg8_z0.001.out.snap0119.dat.gz 3.26 5.47 0.6
0120 4892.6315591 1.625297 n2e5_w5_r2_Rg8_z0.001.out.snap0120.dat.gz 3.49 5.48 0.64
0121 5017.05267664 1.6666288 n2e5_w5_r2_Rg8_z0.001.out.snap0121.dat.gz 3.1 5.6 0.55
0122 5111.1040816 1.697872 n2e5_w5_r2_Rg8_z0.001.out.snap0122.dat.gz 3.49 5.58 0.63
0123 5174.91310967 1.7190689 n2e5_w5_r2_Rg8_z0.001.out.snap0123.dat.gz 3.53 5.69 0.62
0124 5268.09243072 1.7500224 n2e5_w5_r2_Rg8_z0.001.out.snap0124.dat.gz 3.17 5.57 0.57
0125 5269.52563455 1.7504985 n2e5_w5_r2_Rg8_z0.001.out.snap0125.dat.gz 3.47 5.58 0.62
0126 5355.24452911 1.7789737 n2e5_w5_r2_Rg8_z0.001.out.snap0126.dat.gz 3.52 5.69 0.62
0127 5504.40940956 1.8285252 n2e5_w5_r2_Rg8_z0.001.out.snap0127.dat.gz 3.42 5.68 0.6
0128 5600.01653756 1.8602852 n2e5_w5_r2_Rg8_z0.001.out.snap0128.dat.gz 3.48 5.71 0.61
0129 5717.79512712 1.8994104 n2e5_w5_r2_Rg8_z0.001.out.snap0129.dat.gz 3.67 5.78 0.64
0130 5820.82655801 1.9336367 n2e5_w5_r2_Rg8_z0.001.out.snap0130.dat.gz 3.47 5.93 0.59
0131 5888.84850093 1.9562331 n2e5_w5_r2_Rg8_z0.001.out.snap0131.dat.gz 3.4 5.86 0.58
0132 5940.71025036 1.9734612 n2e5_w5_r2_Rg8_z0.001.out.snap0132.dat.gz 3.73 5.86 0.64
0133 6021.04943779 2.0001493 n2e5_w5_r2_Rg8_z0.001.out.snap0133.dat.gz 3.38 5.86 0.58
0134 6147.29419507 2.0420869 n2e5_w5_r2_Rg8_z0.001.out.snap0134.dat.gz 3.43 5.89 0.58
0135 6288.27256467 2.0889189 n2e5_w5_r2_Rg8_z0.001.out.snap0135.dat.gz 3.32 5.93 0.56
0136 6481.86285046 2.1532282 n2e5_w5_r2_Rg8_z0.001.out.snap0136.dat.gz 3.56 5.92 0.6
0137 6621.74065438 2.1996946 n2e5_w5_r2_Rg8_z0.001.out.snap0137.dat.gz 3.48 6.05 0.57
0138 6696.73204386 2.2246062 n2e5_w5_r2_Rg8_z0.001.out.snap0138.dat.gz 3.34 5.9 0.57
0139 6763.31416029 2.2467243 n2e5_w5_r2_Rg8_z0.001.out.snap0139.dat.gz 3.49 6.07 0.58
0140 6773.22858334 2.2500178 n2e5_w5_r2_Rg8_z0.001.out.snap0140.dat.gz 3.56 6.08 0.58
0141 6881.82666099 2.2860933 n2e5_w5_r2_Rg8_z0.001.out.snap0141.dat.gz 3.58 6.11 0.59
0142 6984.3866789 2.320163 n2e5_w5_r2_Rg8_z0.001.out.snap0142.dat.gz 3.45 6.03 0.57
0143 7084.24585565 2.3533355 n2e5_w5_r2_Rg8_z0.001.out.snap0143.dat.gz 3.44 6.11 0.56
0144 7191.41072947 2.3889349 n2e5_w5_r2_Rg8_z0.001.out.snap0144.dat.gz 3.61 6.15 0.59
0145 7267.49365373 2.4142091 n2e5_w5_r2_Rg8_z0.001.out.snap0145.dat.gz 3.41 6.11 0.56
0146 7374.35809961 2.4497087 n2e5_w5_r2_Rg8_z0.001.out.snap0146.dat.gz 3.58 6.21 0.58
0147 7431.8135885 2.468795 n2e5_w5_r2_Rg8_z0.001.out.snap0147.dat.gz 3.52 6.14 0.57
0148 7525.7530103 2.500001 n2e5_w5_r2_Rg8_z0.001.out.snap0148.dat.gz 3.54 6.15 0.58
0149 7562.46181262 2.5121954 n2e5_w5_r2_Rg8_z0.001.out.snap0149.dat.gz 3.59 6.12 0.59
0150 7745.0864786 2.572862 n2e5_w5_r2_Rg8_z0.001.out.snap0150.dat.gz 3.56 6.18 0.58
